"","bmi","age","sex","race","numpeople","car","gotosch","snack","tvhours","cmpthours","cellhours","sports","exercises","sweat","overweigh"
"1",18.2066454255803,12.2,"F","OTHER",5,3,"2","1",4,0,0,"2",2,1,0
"2",22.784011086138,12.8,"M","OTHER",4,3,"2","1",4,2,0,"1",8,2,0
"3",19.6072533468802,12.6,"F","OTHER",4,2,"4","2",NA,NA,NA,NA,4,2,0
"4",25.567536173329,12.1,"M","OTHER",2,3,"2","1",0,2,0,"2",9,1,1
"5",15.0740820472865,12.3,"M","OTHER",4,1,"2","1",2,1,3,"1",12,1,0
"6",22.983382063227,11.8,"M","OTHER",4,1,"1","1",4,3,2,"1",1,1,0
"7",23.8941527231058,NA,"M","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"8",19.1565830258667,12.1,"F","OTHER",3,3,"2","1",0,0,1,"1",1,3,0
"9",16.6435942475195,12.4,"M","OTHER",5,3,"1","1",0,0,0,"2",5,1,0
"10",17.2064321426963,12.7,"M","OTHER",5,3,"2","2",3,NA,NA,"1",7,2,0
"11",22.1085894857799,11.9,"F","OTHER",5,2,"2","1",3,4,1,"1",6,1,0
"12",17.1702973613252,11.9,"M","OTHER",5,2,"2",NA,0,2,1,"2",2,2,0
"13",25.3349112426035,12.2,"F","OTHER",4,3,"2","2",NA,NA,NA,"2",3,2,1
"14",14.5094298677245,NA,"M","OTHER",4,3,"2","1",0,0,1,"2",0,3,0
"15",13.9802412590206,11.9,"F","OTHER",5,2,"3","1",NA,NA,1,"2",5,2,0
"16",15.9340424623008,12.4,"F","OTHER",4,3,"2","2",0,0,1,"1",12,1,0
"17",18.5656891212488,12.7,"M","OTHER",5,3,"2","1",0,0,1,"1",67,2,0
"18",16.0031604921579,12.3,"M","OTHER",2,3,"3","1",3,2,1,"1",22,2,0
"19",20.8719401517909,11.8,"F","OTHER",5,2,"2","1",3,2,2,"1",9,2,0
"20",18.3930387053696,12.7,"F","OTHER",5,3,"4","1",4,4,3,"2",9,2,0
"21",16.9427585147794,13,"F","OTHER",2,3,"2","1",4,3,1,"1",2,1,0
"22",17.2444444444444,13,"M","OTHER",5,3,"2","1",0,NA,NA,"1",4,2,0
"23",16.9542100694444,12.3,"F","OTHER",4,1,"2","1",1,3,1,"1",8,1,0
"24",16.5894644388079,12.1,"M","OTHER",3,2,"2","1",2,1,0,"1",4,2,0
"25",15.6888888888889,11.8,"M","OTHER",5,1,"2","2",NA,NA,NA,NA,2,2,0
"26",13.9205721015608,12,"F","OTHER",2,3,"3","1",1,0,0,"2",2,2,0
"27",20.5793668958792,12.2,"M","OTHER",5,3,"2",NA,0,0,0,NA,2,2,0
"28",16.5124844456338,11.9,"F","OTHER",3,1,"3","1",1,2,0,"1",9,2,0
"29",27.7366863905325,12.1,"F","OTHER",5,2,"2","1",1,3,1,"1",3,2,1
"30",20.1846153846154,13.9,"M","OTHER",3,3,"2","1",2,0,0,"1",13,2,0
"31",19.3704529420893,13.4,"M","OTHER",5,3,"2","1",NA,2,4,"1",3,2,0
"32",19.4700419520241,NA,"M","OTHER",4,2,"2","1",4,3,2,"1",26,1,0
"33",16.9397985345821,12.6,"M","OTHER",2,1,"1","1",2,3,2,"1",8,2,0
"34",18.3554778449811,12.8,"M","OTHER",5,2,"2","1",2,1,0,"2",12,2,0
"35",23.6614386154678,12.5,"M","OTHER",2,3,"2","1",1,2,NA,"2",30,2,0
"36",16.2426835412085,12,"M","OTHER",5,3,"2","2",NA,0,0,"1",1,1,0
"37",18.6637875479646,13.7,"F","OTHER",3,2,"2","1",0,0,1,"2",0,1,0
"38",20.614020385147,11.9,"F","OTHER",3,3,"2","1",0,0,0,"2",7,2,0
"39",15.4424697807622,14.3,"M","OTHER",4,2,"2","1",3,2,1,"2",9,2,0
"40",15.7538461538462,12.3,"F","OTHER",5,3,"2","1",0,2,2,"2",7,2,0
"41",18.0534707290357,11.8,"F","OTHER",5,3,"2","1",1,0,0,"2",21,1,0
"42",15.7837606332703,13.6,"F","OTHER",2,2,"2","1",0,NA,0,NA,15,1,0
"43",19.472830139029,13.1,"M","OTHER",4,3,"2","1",4,4,1,"1",6,1,0
"44",21.4374506027425,13,"M","MIXED",5,1,"2","1",3,4,0,"1",1,2,0
"45",17.8684151773487,13.3,"F","OTHER",3,2,"2","1",NA,4,3,"1",5,1,0
"46",19.2487231160799,14.1,"M","OTHER",3,NA,"3","1",0,1,4,"1",7,1,0
"47",14.9542813386784,13,"F","OTHER",5,3,"2","1",0,0,1,NA,18,2,0
"48",19.8867760197416,13.7,"F","OTHER",2,3,"3","1",4,4,0,"1",8,2,0
"49",19.935920256319,13.1,"F","OTHER",1,3,"2","1",3,4,1,"1",0,2,0
"50",16.0199359202563,12.3,"F","OTHER",3,2,"2","1",1,2,1,"1",4,3,0
"51",25.4141198243168,13.1,"F","OTHER",4,3,"2","1",3,2,1,"2",0,2,1
"52",18.7822208999539,12.7,"F","OTHER",5,1,"2","1",3,3,2,"1",0,3,0
"53",20.4924425907833,13.1,"M","OTHER",1,3,"3","1",NA,3,1,"1",6,2,0
"54",18.2615047479912,12.9,"F","OTHER",5,3,"3","1",1,0,0,"2",18,1,0
"55",16.3506148371695,12.4,"M","OTHER",3,3,"3","1",1,2,2,"1",10,3,0
"56",19.3877551020408,12.2,"M","OTHER",4,3,"2","1",4,2,0,"1",3,3,0
"57",17.5533351336754,12.2,"F","OTHER",5,1,"2","1",1,1,1,"1",7,2,0
